University Name,CWUR World University Rankings
Ramon Llull University,1063
Federal University of Goiás,1064
Hebei University of Technology,1065
Kagoshima University,1066
University of Urbino,1067
Hassan II University of Casablanca,1068
Paderborn University,1069
National Taipei University of Technology,1070
Paracelsus Medical University,1071
Institute of Science and Technology Austria,1072
Northeast Forestry University,1073
Copenhagen Business School,1074
Dankook University,1075
IMT Atlantique,1076
University of Maribor,1077
Dublin City University,1078
Kazan Federal University,1079
Tianjin University of Technology,1080
Worcester Polytechnic Institute,1081
Chang'an University,1082
Qilu University of Technology,1083
Luleå University of Technology,1084
Chuo University,1085
University of Salzburg,1086
Fordham University,1087
Tiangong University,1088
United States Naval Academy,1089
Mohammed First University Oujda,1090
Nanjing University of Chinese Medicine,1091
Postgraduate Institute of Medical Education and Research,1092
Addis Ababa University,1093
University of Canberra,1094
Charles Sturt University,1095
École nationale supérieure de chimie de Montpellier,1096
"University of Veterinary Medicine, Vienna",1097
Jichi Medical University,1098
Medical University of Gdańsk,1099
Charles Darwin University,1100
University of North Carolina at Greensboro,1101
Shahid Beheshti University,1102
Mersin University,1103
Åbo Akademi University,1104
Pablo de Olavide University,1105
"Indian Institute of Science Education and Research, Pune",1106
"Asia University, Taiwan",1107
Nottingham Trent University,1108
Hunan Agricultural University,1109
Medical University of Silesia,1110
Jiangsu Normal University,1111
Toho University,1112
Gunma University,1113
Koç University,1114
University of Waikato,1115
Tomsk Polytechnic University,1116
University of Novi Sad,1117
University of Calcutta,1118
Hainan University,1119
Kharkov Institute of Physics and Technology,1120
University of Puerto Rico at Mayagüez,1121
University of Kassel,1122
Metropolitan Autonomous University,1123
University of Massachusetts Lowell,1124
University of Augsburg,1125
University of the Free State,1126
Soonchunhyang University,1127
Monterrey Institute of Technology and Higher Education,1128
Hebei University,1129
University of Sfax,1130
Dalian Maritime University,1131
University of Hertfordshire,1132
Northeast Agricultural University,1133
Rouen Normandy University,1134
University of Pécs,1135
University of Southern Queensland,1136
Changzhou University,1137
Ural Federal University,1138
"University of Chemistry and Technology, Prague",1139
Duy Tân University,1140
Nagoya City University,1141
Visva-Bharati University,1142
Loma Linda University,1143
University of Évry Val d'Essonne,1144
Teikyo University,1145
Marquette University,1146
Huaqiao University,1147
National Defense Medical Center,1148
Federal University of Mato Grosso do Sul,1149
Dokuz Eylül University,1150
University of Neuchâtel,1151
Kyoto Prefectural University of Medicine,1152
Aligarh Muslim University,1153
"California State University, Fresno",1154
National Institute of Public Health (INSP),1155
Federal University of São João del-Rei,1156
University of Silesia in Katowice,1157
Henan University of Science and Technology,1158
Wuhan University of Science and Technology,1159
Czech University of Life Sciences Prague,1160
Santa Clara University,1161
Poznan University of Medical Sciences,1162
Assiut University,1163
Liverpool School of Tropical Medicine,1164
University of Las Palmas de Gran Canaria,1165
Indian Agricultural Research Institute,1166
Anna University,1167
Wenzhou University,1168
San Francisco State University,1169
Andrés Bello University,1170
University of Gdańsk,1171
University of Ibadan,1172
Yamaguchi University,1173
Pukyong National University,1174
Nara Institute of Science and Technology,1175
Chemnitz University of Technology,1176
United States Military Academy,1177
New York Medical College,1178
Mie University,1179
South Dakota State University,1180
Jiangxi Normal University,1181
Bowdoin College,1182
United Arab Emirates University,1183
Dalian Medical University,1184
Tokat Gaziosmanpaşa University,1185
University of Western Cape,1186
Carol Davila University of Medicine and Pharmacy,1187
Smith College,1188
Daegu Gyeongbuk Institute of Science and Technology,1189
Khon Kaen University,1190
Ibero-American University,1191
İzmir Institute of Technology,1192
Xi'an University of Technology,1193
Gran Sasso Science Institute,1194
Wilfrid Laurier University,1195
Federal University of Pará,1196
Zagazig University,1197
Zhejiang A&F University,1198
Tôn Đức Thắng University,1199
Federal University of Espírito Santo,1200
Chung Shan Medical University,1201
Nippon Medical School,1202
"California Polytechnic State University, San Luis Obispo",1203
"Vietnam National University, Hanoi",1204
China University of Mining and Technology-Beijing,1205
West University of Timișoara,1206
Guangxi Medical University,1207
Southwestern University of Finance and Economics,1208
Magna Graecia University of Catanzaro,1209
Skolkovo Institute of Science and Technology,1210
Conservatoire national des arts et métiers,1211
Federal University of Paraíba,1212
Howard University,1213
Changsha University of Science and Technology,1214
University of North Dakota,1215
Tokyo Medical University,1216
Sant'Anna School of Advanced Studies,1217
Stevens Institute of Technology,1218
Ca' Foscari University of Venice,1219
Adıyaman University,1220
Shanghai University of Traditional Chinese Medicine,1221
Southwest Petroleum University,1222
Iran University of Medical Sciences,1223
Hebei Medical University,1224
Fu Jen Catholic University,1225
University of the Punjab,1226
College of the Holy Cross,1227
Indian Association for the Cultivation of Science,1228
TOBB University of Economics and Technology,1229
Hofstra University,1230
Prince of Songkla University,1231
Coventry University,1232
Austral University of Chile,1233
École centrale de Lyon,1234
Heilongjiang University,1235
Maynooth University,1236
Maria Sklodowska-Curie National Research Institute of Oncology,1237
Suez Canal University,1238
Bournemouth University,1239
Federal University of Uberlândia,1240
University of Western Brittany,1241
University of Agriculture Faisalabad,1242
University of Lodz,1243
National University of Sciences and Technology,1244
Jikei University,1245
Public University of Navarre,1246
Boise State University,1247
Oakland University,1248
Albany Medical College,1249
University of Algarve,1250
Texas State University,1251
Kafkas University,1252
Southwest University of Science and Technology,1253
Brno University of Technology,1254
Yokohama National University,1255
"University of the West of England, Bristol",1256
Mashhad University of Medical Sciences,1257
University of Hyderabad,1258
Brock University,1259
Catholic University of America,1260
National University of Distance Education,1261
Henan Agricultural University,1262
Okinawa Institute of Science and Technology,1263
Jiangsu University of Science and Technology,1264
Wright State University,1265
University of Ghana,1266
Institute of Solid State Physics of the Russian Academy of Sciences,1267
Fujita Health University,1268
University of Yamanashi,1269
Vellore Institute of Technology,1270
Anhui Normal University,1271
University of Almería,1272
University of Dayton,1273
Henan Polytechnic University,1274
Federal University of Lavras,1275
Sechenov University,1276
K. N. Toosi University of Technology,1277
Kanazawa Institute of Technology,1278
Toulouse 1 Capitole University,1279
Osnabrück University,1280
University of Greenwich,1281
Dong-A University,1282
State University of Maringá,1283
Jacobs University,1284
Erciyes University,1285
Isfahan University of Medical Sciences,1286
University of Missouri-St. Louis,1287
Wuhan Institute of Technology,1288
Hirosaki University,1289
Keimyung University,1290
Nagasaki Institute of Applied Science,1291
Tuscia University,1292
"California State University, Fullerton",1293
University of Bradford,1294
Clark University,1295
University of the Ryukyus,1296
University of León,1297
Kasetsart University,1298
University of Camerino,1299
University of Reims Champagne-Ardenne,1300
Campus Bio-Medico University,1301
University of South Africa,1302
Asian Institute of Management,1303
Rhodes University,1304
Kōchi University,1305
Saitama Medical University,1306
University of Stavanger,1307
B.I. Stepanov Institute of Physics of The National Academy of Sciences of Belarus,1308
University of Alabama in Huntsville,1309
Guangxi Normal University,1310
Tottori University,1311
Sultan Qaboos University,1312
Chung Yuan Christian University,1313
Warsaw University of Life Sciences,1314
National Institute for Space Research (INPE),1315
National University of Science and Technology MISiS,1316
Jordan University of Science and Technology,1317
University of the Sunshine Coast,1318
Saitama University,1319
Royal Veterinary College,1320
Fayoum University,1321
Saga University,1322
Xuzhou Medical University,1323
Babol Noshirvani University of Technology,1324
Shaanxi University of Science and Technology,1325
University of Foggia,1326
Lakehead University,1327
University of Picardie Jules Verne,1328
Education University of Hong Kong,1329
University of South China,1330
SOAS University of London,1331
SUNY College of Environmental Science and Forestry,1332
Soongsil University,1333
Kuwait University,1334
Silesian University of Technology,1335
Menlo College,1336
Singapore Management University,1337
University of Pau and Pays de l'Adour,1338
Shenyang Pharmaceutical University,1339
Manipal Academy of Higher Education,1340
ESSEC Business School,1341
Liaocheng University,1342
Linnaeus University,1343
Northwest Normal University,1344
Southern Cross University,1345
Gdańsk University of Technology,1346
University of Lincoln,1347
Xinjiang University,1348
King Saud bin Abdulaziz University for Health Sciences,1349
University of Costa Rica,1350
Istanbul University-Cerrahpaşa,1351
University of Guadalajara,1352
"Institute of Physics, Azerbaijan National Academy of Sciences",1353
University of Limoges,1354
Qingdao Agricultural University,1355
"University of Puerto Rico, Medical Sciences Campus",1356
Democritus University of Thrace,1357
Kurume University,1358
China Jiliang University,1359
Erzincan Binali Yıldırım University,1360
University of Miyazaki,1361
Özyeğin University,1362
British University in Egypt,1363
École des Hautes Études en Sciences Sociales,1364
Shiraz University of Medical Sciences,1365
Jeju National University,1366
University of Namur,1367
University of Monastir,1368
University of Yaoundé I,1369
Showa University,1370
University of Carthage,1371
"Indian Institute of Science Education and Research, Kolkata",1372
National Taiwan Ocean University,1373
Lodz University of Technology,1374
Anhui Agricultural University,1375
Hyogo College of Medicine,1376
"University of Santiago, Chile",1377
University of the Aegean,1378
"California State University, Northridge",1379
Atatürk University,1380
Bowling Green State University,1381
Tanta University,1382
Tianjin University of Science and Technology,1383
Hiroshima Institute of Technology,1384
Guangzhou University of Chinese Medicine,1385
Autonomous University of Nuevo León,1386
University of Central Lancashire,1387
Oxford Brookes University,1388
Istanbul Bilgi University,1389
University of Jordan,1390
Antonio Nariño University,1391
XLRI - Xavier School of Management,1392
Uludağ University,1393
Tabriz University of Medical Sciences,1394
Chosun University,1395
University of Malawi,1396
Selçuk University,1397
Süleyman Demirel University,1398
Shanghai Ocean University,1399
Chongqing University of Posts and Telecommunications,1400
China Three Gorges University,1401
Pavol Jozef Šafárik University in Košice,1402
Leuphana University of Lüneburg,1403
"École supérieure de chimie, physique, électronique de Lyon",1404
University of Nairobi,1405
Carleton College,1406
Shimane University,1407
École de technologie supérieure,1408
"Indian Institute of Technology (Indian School of Mines), Dhanbad",1409
San Jose State University,1410
Thapar Institute of Engineering and Technology,1411
Anglia Ruskin University,1412
National Chengchi University,1413
Chengdu University of Technology,1414
Cha University,1415
South Central University for Nationalities,1416
National Kaohsiung University of Science and Technology,1417
University of Huddersfield,1418
National University of Rosario,1419
Bohai University,1420
Pontifical Catholic University of Valparaíso,1421
University of Beira Interior,1422
Guilin University of Electronic Technology,1423
Fukuoka University,1424
Anhui University of Technology,1425
Zhejiang Gongshang University,1426
Hampton University,1427
Western Michigan University,1428
Texas Christian University,1429
Istanbul Aydın University,1430
National Chung Cheng University,1431
Shanxi Medical University,1432
Indian Institute of Technology Indore,1433
University of South Alabama,1434
Akdeniz University,1435
University of San Francisco,1436
Fukushima Medical University,1437
"National Institute of Technology, Rourkela",1438
Kwame Nkrumah University of Science and Technology,1439
Karadeniz Technical University,1440
Indian Institute of Technology Hyderabad,1441
Yantai University,1442
Guglielmo Marconi University,1443
Savitribai Phule Pune University,1444
University of Occupational and Environmental Health Japan,1445
Xi'an University of Architecture and Technology,1446
University of Perpignan,1447
Humanitas University,1448
University of La Frontera,1449
Williams College,1450
Kagawa University,1451
"California State University, Long Beach",1452
Michoacán University of San Nicolás of Hidalgo,1453
University of Isfahan,1454
"Birla Institute of Technology and Science, Pilani",1455
Central Michigan University,1456
Feng Chia University,1457
Trent University,1458
University of Veterinary Medicine Hanover,1459
University of Toulouse-Jean Jaurès,1460
Doshisha University,1461
Kwansei Gakuin University,1462
University of Electro-Communications,1463
State University of Londrina,1464
Medical University of Lublin,1465
Rowan University,1466
Western Norway University of Applied Sciences,1467
Yangtze University,1468
North China University of Science and Technology,1469
Inner Mongolia University,1470
Ilia State University,1471
Taras Shevchenko National University of Kyiv,1472
Alexandru Ioan Cuza University of Iaşi,1473
University of Avignon,1474
Incheon National University,1475
Tallinn University of Technology,1476
Pomeranian Medical University in Szczecin,1477
Al-Azhar University,1478
Hebei Normal University,1479
Ball State University,1480
Ontario Tech University,1481
University of South Dakota,1482
Shihezi University,1483
Medical University Sofia,1484
Lanzhou University of Technology,1485
Hanken School of Economics,1486
Army Engineering University of PLA,1487
Institute of Tropical Medicine Antwerp,1488
Montclair State University,1489
V.A. Steklov Mathematical Institute of the Russian Academy of Sciences,1490
Baruch College,1491
"Vietnam National University, Ho Chi Minh City",1492
Kyoto University of Education,1493
Federal University of Technology - Paraná,1494
University of Minnesota Duluth,1495
Beni Suef University,1496
Shanghai Maritime University,1497
Freiberg University of Mining and Technology,1498
National Institute of Amazonian Research (INPA),1499
Hamburg University of Technology,1500
University of Sannio,1501
Helwan University,1502
Nova Southeastern University,1503
Pontifical Catholic University of Rio Grande do Sul,1504
Vienna University of Economics and Business,1505
Cayetano Heredia Peruvian University,1506
University of Salford,1507
University of Huelva,1508
Kunming Medical University,1509
Tamkang University,1510
Poznań University of Life Sciences,1511
Federal University of Sergipe,1512
Beijing University of Chinese Medicine,1513
Ochanomizu University,1514
University of Trás-os-Montes and Alto Douro,1515
De Montfort University,1516
Peoples' Friendship University of Russia,1517
Shenyang Agricultural University,1518
Institute for Pure and Applied Mathematics (IMPA),1519
University of Sharjah,1520
Poznań University of Technology,1521
University of Tulsa,1522
Witten/Herdecke University,1523
Tianjin Normal University,1524
Grinnell College,1525
Clarkson University,1526
Institute of Applied Physics of the Russian Academy of Sciences,1527
Kyushu Institute of Technology,1528
University of Évora,1529
Transilvania University of Brașov,1530
Nagoya Institute of Technology,1531
Seoul National University of Science and Technology,1532
University of Southern Mississippi,1533
École nationale vétérinaire d'Alfort,1534
Beijing Technology and Business University,1535
"Federal Institute of Education, Science and Technology of Rio Grande do Sul",1536
University of Warmia and Mazury in Olsztyn,1537
University of Guilan,1538
International Islamic University Malaysia,1539
Kookmin University,1540
Shiga University of Medical Science,1541
University of Latvia,1542
Fairfield University,1543
Dongguan University of Technology,1544
Sabancı University,1545
"National Institute of Technology, Tiruchirappalli",1546
Maria Curie-Skłodowska University,1547
Middlesex University,1548
University of Rijeka,1549
Liaoning University,1550
Lincoln University,1551
Hunan University of Science and Technology,1552
University of Indonesia,1553
University of Lethbridge,1554
SRM Institute of Science and Technology,1555
I-Shou University,1556
Arts et Métiers Sciences et Technologies,1557
North University of China,1558
University of Gondar,1559
"Indian Statistical Institute, Kolkata",1560
King Mongkut's University of Technology Thonburi,1561
Technical University of Ilmenau,1562
Sheffield Hallam University,1563
Fırat University,1564
Hamamatsu University School of Medicine,1565
Shandong University of Technology,1566
Indian Institute of Technology (BHU) Varanasi,1567
Zhejiang Chinese Medical University,1568
Semnan University,1569
Utah Valley University,1570
Kingston University,1571
Tamil Nadu Dr. M.G.R. Medical University,1572
National University of the Littoral,1573
Wakayama Medical University,1574
Open University of Catalonia,1575
Shahid Bahonar University of Kerman,1576
Texas Tech University Health Sciences Center,1577
DePaul University,1578
Pontifical Javeriana University,1579
N.N. Semenov Institute of Chemical Physics of the Russian Academy of Sciences,1580
Pontifical Catholic University of Peru,1581
CY Cergy Paris University,1582
University of Zambia,1583
Rikkyo University,1584
Trinity University,1585
Illinois State University,1586
Doğuş University,1587
MARA University of Technology,1588
Razi University,1589
Lobachevsky University,1590
Sapporo Medical University,1591
Ariel University,1592
University of Peradeniya,1593
Indian Institute of Technology Bhubaneswar,1594
Iuliu Hațieganu University of Medicine and Pharmacy,1595
University of Agder,1596
Ibaraki University,1597
University of Kashan,1598
Yuan Ze University,1599
Norwegian School of Sport Sciences,1600
National University of Cuyo,1601
Huzhou University,1602
Bu-Ali Sina University,1603
University of Guanajuato,1604
Hamad Bin Khalifa University,1605
National University of Mar del Plata,1606
Glasgow Caledonian University,1607
Mimar Sinan Fine Arts University,1608
King Khalid University,1609
Pontifical Catholic University of Rio de Janeiro,1610
Eastern Virginia Medical School,1611
"California State University, Los Angeles",1612
Nara Medical University,1613
Aichi Medical University,1614
Shanghai University of Electric Power,1615
Claremont Graduate University,1616
Harbin University of Science and Technology,1617
Lithuanian University of Health Sciences,1618
Hebei Agricultural University,1619
"Queens College, City University of New York",1620
Iwate Medical University,1621
University of Kragujevac,1622
Ohio Wesleyan University,1623
University of Valparaíso,1624
Guangdong Medical University,1625
Zhengzhou University of Light Industry,1626
Federal Rural University of Pernambuco,1627
Catholic University of the North,1628
Slovak University of Technology in Bratislava,1629
Medical University of Białystok,1630
Cleveland State University,1631
Chapman University,1632
ISCTE – University Institute of Lisbon,1633
Myongji University,1634
University of Niš,1635
Nelson Mandela University,1636
Government College University Faisalabad,1637
Imam Abdulrahman Bin Faisal University,1638
University of Caen Normandy,1639
Nanchang Hangkong University,1640
University of Massachusetts Dartmouth,1641
Georgian Technical University,1642
University of Trier,1643
Catholic University of Portugal,1644
Changchun University of Science and Technology,1645
Thammasat University,1646
Zhongnan University of Economics and Law,1647
Henan University of Technology,1648
University of Molise,1649
Central South University of Forestry and Technology,1650
Kwangwoon University,1651
Agricultural University of Athens,1652
Oslo Metropolitan University,1653
Taibah University,1654
Georgia Southern University,1655
University of Leoben,1656
Ondokuz Mayıs University,1657
Menoufia University,1658
Near East University,1659
Guilin University of Technology,1660
Bharathiar University,1661
Indian Institute of Management Calcutta,1662
University of North Carolina Wilmington,1663
Laurentian University,1664
Kocaeli University,1665
Kyorin University,1666
Mendel University in Brno,1667
Sichuan Normal University,1668
Wonkwang University,1669
BI Norwegian Business School,1670
University of Ruhuna,1671
"University of San Francisco, Quito",1672
G.K. Boreskov Institute of Catalysis of the Siberian Branch of the Russian Academy of Sciences,1673
Harokopio University,1674
University of Fukui,1675
Krasnoyarsk Science Center of the Siberian Branch of the Russian Academy of Sciences,1676
Jamia Millia Islamia,1677
Federal University of Rio Grande,1678
Central Queensland University,1679
Federation University Australia,1680
Western Washington University,1681
Gangneung-Wonju National University,1682
Xi'an Jiaotong-Liverpool University,1683
Yazd University,1684
"California State University, Sacramento",1685
University of the West of Scotland,1686
Comillas Pontifical University,1687
National Dong Hwa University,1688
Estonian University of Life Sciences,1689
University of La Rioja,1690
Space Research Institute of the Russian Academy of Sciences,1691
James Madison University,1692
Payame Noor University,1693
Southwest Medical University,1694
Indian Institute of Technology Gandhinagar,1695
University of Westminster,1696
Appalachian State University,1697
Bahçeşehir University,1698
China West Normal University,1699
University of Peshawar,1700
Free University of Bozen-Bolzano,1701
University of Malta,1702
Minia University,1703
University of Québec at Trois-Rivières,1704
Pontifical Catholic University of Paraná,1705
Irkutsk Scientific Center of the Siberian Branch of the Russian Academy of Sciences,1706
Roskilde University,1707
Guangdong Pharmaceutical University,1708
Institute for Nuclear Research of the National Academy of Sciences of Ukraine,1709
Marshall University,1710
University of the Philippines Manila,1711
Tzu Chi University,1712
Southern Federal University,1713
Xinjiang Medical University,1714
Urmia University,1715
Suranaree University of Technology,1716
A.A. Kharkevich Institute for Information Transmission Problems of the Russian Academy of Sciences,1717
Brooklyn College,1718
Foshan University,1719
College of Charleston,1720
Yunnan Normal University,1721
University of Agriculture in Krakow,1722
Benha University,1723
Diego Portales University,1724
University of Koblenz-Landau,1725
Amrita Vishwa Vidyapeetham,1726
Malmö University,1727
Sookmyung Women's University,1728
Cyprus University of Technology,1729
St. John's University,1730
Cooper Union,1731
University of South-Eastern Norway,1732
Kongju National University,1733
Polytechnic University of Cartagena,1734
Alfaisal University,1735
"Goldsmiths, University of London",1736
International University of Health and Welfare,1737
European University Institute,1738
Akita University,1739
V.M. Glushkov Institute of Cybernetics of the National Academy of Sciences of Ukraine,1740
St. Marianna University School of Medicine,1741
Xi'an University of Science and Technology,1742
Polytechnic Institute of Porto,1743
Xinxiang Medical University,1744
Central European University,1745
Bahauddin Zakariya University,1746
Mae Fah Luang University,1747
Polytechnic University of Hauts-de-France,1748
Federal University of Mato Grosso,1749
Iwate University,1750
Shanghai University of Engineering Science,1751
Chongqing Technology and Business University,1752
Hongik University,1753
University of Notre Dame Australia,1754
Linyi University,1755
Taif University,1756
Federal University of Triângulo Mineiro,1757
University of Jammu,1758
Ludong University,1759
Necmettin Erbakan University,1760
Xinyang Normal University,1761
New Mexico Institute of Mining and Technology,1762
Jilin Agricultural University,1763
University of Zimbabwe,1764
Nazarbayev University,1765
University of Zielona Góra,1766
University of Cassino and Southern Lazio,1767
Anadolu University,1768
Jackson State University,1769
Kermanshah University of Medical Sciences,1770
A.M. Prokhorov General Physics Institute of the Russian Academy of Sciences,1771
Eulji University,1772
University of Dhaka,1773
Kansai Medical University,1774
University of Nigeria,1775
University of Kurdistan,1776
Chongqing Normal University,1777
Jiaxing University,1778
Jiangxi University of Science and Technology,1779
Hankuk University of Foreign Studies,1780
Industrial University of Santander,1781
Shanghai Institute of Technology,1782
Mekelle University,1783
Karlstad University,1784
Kennesaw State University,1785
National University of the South,1786
South Dakota School of Mines and Technology,1787
Shanxi Agricultural University,1788
University of La Rochelle,1789
Wrocław University of Environmental and Life Sciences,1790
University of the Philippines Diliman,1791
PETRONAS University of Technology,1792
Embry-Riddle Aeronautical University,1793
Oita University,1794
University of Bialystok,1795
Technological Institute of Aeronautics,1796
Manisa Celal Bayar University,1797
Catholic University of Daegu,1798
East Tennessee State University,1799
Saint Mary's University,1800
Technical University of Ostrava,1801
Union College,1802
Eskişehir Osmangazi University,1803
Federal University of Ouro Preto,1804
Guizhou Medical University,1805
Jiangxi Agricultural University,1806
University of South Wales,1807
University of Health Sciences,1808
Dokkyo Medical University,1809
"Institute of Chemical Technology, Mumbai",1810
Tunghai University,1811
University of the Highlands and Islands,1812
Suzhou University of Science and Technology,1813
Japan Advanced Institute of Science and Technology,1814
M.M. Shemyakin and Y.A. Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,1815
University of Technology of Belfort-Montbéliard,1816
University of Rajasthan,1817
Autonomous University of Chile,1818
Hamilton College,1819
Idaho State University,1820
Sanjay Gandhi Postgraduate Institute of Medical Sciences,1821
"Institute of Physical Chemistry, Polish Academy of Sciences",1822
University of Nova Gorica,1823
Autonomous University of Sinaloa,1824
Ahvaz Jundishapur University of Medical Sciences,1825
Kafrelsheikh University,1826
Naval Postgraduate School,1827
Kyoto Sangyo University,1828
Jimma University,1829
Nara Women's University,1830
Hubei University of Technology,1831
Sakarya University,1832
University of Mazandaran,1833
Towson University,1834
Kawasaki Medical School,1835
University of International Business and Economics,1836
University of New Orleans,1837
University of Burgos,1838
Umm Al-Qura University,1839
Mazandaran University of Medical Sciences,1840
Ningxia University,1841
Central University of Finance and Economics,1842
University of Alaska Anchorage,1843
Jönköping University,1844
"University of Puerto Rico, Río Piedras Campus",1845
Kettering University,1846
Cracow University of Technology,1847
University of Bergamo,1848
Liaoning Normal University,1849
Meiji University,1850
University of Toulon,1851
Kanagawa University,1852
Pamukkale University,1853
Technical University of Crete,1854
Tribhuvan University,1855
University of Talca,1856
Federal University of Alagoas,1857
"West Pomeranian University of Technology, Szczecin",1858
Bond University,1859
Kyoto Institute of Technology,1860
Franklin & Marshall College,1861
Kaunas University of Technology,1862
Sohag University,1863
A.N. Nesmeyanov Institute of Organoelement Compounds of the Russian Academy of Sciences,1864
University of Valle,1865
University of Ostrava,1866
University of Rzeszów,1867
IFP School,1868
Punjab Agricultural University,1869
East China University of Technology,1870
University of Winnipeg,1871
Düsseldorf Art Academy,1872
Edinburgh Napier University,1873
Dongbei University of Finance and Economics,1874
National United University,1875
Drew University,1876
Ningxia Medical University,1877
Federal University of Campina Grande,1878
National Defense Medical College,1879
Far Eastern Federal University,1880
Institute of Ecology (INECOL),1881
Riga Technical University,1882
Mediterranean University of Reggio Calabria,1883
Mid Sweden University,1884
University of Shizuoka,1885
Taizhou University,1886
University of Karachi,1887
IHE Delft Institute for Water Education,1888
University of Technology of Compiègne,1889
N.D. Zelinsky Institute of Organic Chemistry of the Russian Academy of Sciences,1890
Chengdu University of Information Technology,1891
University of Madras,1892
Federal Rural University of Rio de Janeiro,1893
University of Arkansas at Little Rock,1894
A.V. Nikolaev Institute of Inorganic Chemistry of the Siberian Branch of the Russian Academy of Sciences,1895
"Indian Institute of Science Education and Research, Bhopal",1896
Federal University of Piauí,1897
Institute for Scintillation Materials,1898
N.N. Bogolyubov Institute for Theoretical Physics of the National Academy of Sciences of Ukraine,1899
Leeds Beckett University,1900
Liaoning University of Technology,1901
Institut supérieur de l'aéronautique et de l'espace,1902
ESCP Business School,1903
Prince Sattam Bin Abdulaziz University,1904
Başkent University,1905
Harbin Normal University,1906
Shiraz University of Technology,1907
Central University of Venezuela,1908
University of Science and Technology Houari Boumediene,1909
National Chiayi University,1910
Yancheng Institute of Technology,1911
Muhimbili University of Health and Allied Sciences,1912
Lebanese University,1913
Chubu University,1914
Rajiv Gandhi University of Health Sciences,1915
Baqiyatallah University of Medical Sciences,1916
Çankaya University,1917
University of La Réunion,1918
"Indian Institute of Science Education and Research, Mohali",1919
Guru Nanak Dev University,1920
Beaux-Arts de Paris,1921
"Institute of Physics, Polish Academy of Sciences",1922
Suez University,1923
University of Lagos,1924
Wellesley College,1925
University of Wolverhampton,1926
Anhui University of Science and Technology,1927
Dalarna University,1928
Shahrood University of Technology,1929
Florida Agricultural and Mechanical University,1930
National Yunlin University of Science and Technology,1931
Eastern Mediterranean University,1932
SASTRA,1933
Shanxi Normal University,1934
Washington and Lee University,1935
Qingdao University of Technology,1936
National University of Comahue,1937
Adolfo Ibáñez University,1938
Jazan University,1939
Wuhan Textile University,1940
Ahmadu Bello University,1941
Kütahya Dumlupınar University,1942
University of Science and Technology Liaoning,1943
Osaka Medical College,1944
Reichman University,1945
Westlake University,1946
American University in Cairo,1947
Josip Juraj Strossmayer University of Osijek,1948
Binzhou Medical University,1949
Siberian Federal University,1950
Çağ University,1951
University of Sonora,1952
Bandung Institute of Technology,1953
"Graduate School & Training Center, Research Institute of Petroleum Exploration and Development",1954
University of Richmond,1955
Hubei University of Medicine,1956
Duquesne University,1957
Hanoi University of Science and Technology,1958
Air Force Engineering University,1959
Kharazmi University,1960
Tezpur University,1961
East China Jiaotong University,1962
Federal University of Amazonas,1963
Ss. Cyril and Methodius University in Skopje,1964
University of Québec at Chicoutimi,1965
Dalian Polytechnic University,1966
University of Roehampton,1967
University of West Bohemia,1968
"Indian Institute of Engineering Science and Technology, Shibpur",1969
Gadjah Mada University,1970
University of Veracruz,1971
University of Northern British Columbia,1972
Shaoxing University,1973
Gebze Technical University,1974
Huaiyin Normal University,1975
İnönü University,1976
Chengdu University,1977
An-Najah National University,1978
"Indian Institute of Science Education and Research, Thiruvananthapuram",1979
Mälardalen University,1980
Huaibei Normal University,1981
École nationale vétérinaire de Toulouse,1982
Technical University of Košice,1983
Hebei University of Science and Technology,1984
University of Sousse,1985
Van Yüzüncü Yıl University,1986
Chengdu University of Traditional Chinese Medicine,1987
Annamalai University,1988
Sinop University,1989
Yasouj University,1990
Giresun University,1991
University of North Florida,1992
"University of Djillali Liabès, Sidi Bel-Abbès",1993
Hanoi Medical University,1994
Kanazawa Medical University,1995
Bharathidasan University,1996
Federal University of Maranhão,1997
Jiangxi University of Finance and Economics,1998
University of Tarapacá,1999
National Institute of Mental Health and Neurosciences,2000
