University Name,Times Higher Education (THE) World University Ranking
Beni-Suef University,801–1000
University of Bergamo,801–1000
Bharathiar University,801–1000
Bilkent University,801–1000
"Birla Institute of Technology and Science, Pilani",801–1000
Boğaziçi University,801–1000
University of Brighton,801–1000
Cairo University,801–1000
University of Calabria,801–1000
Chapman University,801–1000
Institute of Chemical Technology,801–1000
Chengdu University,801–1000
"China University of Petroleum, Beijing",801–1000
Chulalongkorn University,801–1000
Clemson University,801–1000
University of Clermont Auvergne,801–1000
Coventry University,801–1000
CY Cergy Paris University,801–1000
University of Dayton,801–1000
University of Deusto,801–1000
Diego Portales University,801–1000
Donghua University,801–1000
Duzce University,801–1000
Edge Hill University,801–1000
"University of Engineering and Technology, Peshawar",801–1000
Ewha Womans University,801–1000
Federal University of Minas Gerais,801–1000
Universidade Federal de Sergipe,801–1000
Firat University,801–1000
Florida Agricultural and Mechanical University,801–1000
Florida Atlantic University,801–1000
University of Foggia,801–1000
University of the Free State,801–1000
Fujita Health University,801–1000
Fuzhou University,801–1000
University of Girona,801–1000
Guangdong University of Technology,801–1000
Hiroshima University,801–1000
Indian Institute of Technology Patna,801–1000
Indian Institute of Technology Gandhinagar,801–1000
Universitat Internacional de Catalunya,801–1000
University of Ioannina,801–1000
ISCTE-University Institute of Lisbon,801–1000
The Islamia University of Bahawalpur,801–1000
Istanbul Medeniyet University,801–1000
Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,801–1000
University of Jaén,801–1000
Juntendo University,801–1000
Kansas State University,801–1000
Karlstad University,801–1000
Keio University,801–1000
Kerman University of Medical Sciences,801–1000
Kindai University,801–1000
King Faisal University,801–1000
King Khalid University,801–1000
King Mongkut’s University of Technology Thonburi,801–1000
Kingston University,801–1000
KL University,801–1000
Kobe University,801–1000
Kurume University,801–1000
Kuwait University,801–1000
Kyungpook National University,801–1000
University of Lahore,801–1000
Lakehead University,801–1000
University of La Laguna,801–1000
University of Latvia,801–1000
Leeds Beckett University,801–1000
Lithuanian University of Health Sciences,801–1000
University of Ljubljana,801–1000
University of Lleida,801–1000
Lovely Professional University,801–1000
Mae Fah Luang University,801–1000
Mahidol University,801–1000
Makerere University,801–1000
Universiti Malaysia Pahang,801–1000
University of Malta,801–1000
Manipal Academy of Higher Education,801–1000
Marquette University,801–1000
Masaryk University,801–1000
Medical University of Gdańsk,801–1000
University of Memphis,801–1000
University of Minho,801–1000
Mississippi State University,801–1000
University of Missouri-St Louis,801–1000
Montana State University,801–1000
Monterrey Institute of Technology,801–1000
University of Namur,801–1000
Nanjing Forestry University,801–1000
Nanjing University of Information Science and Technology,801–1000
Nanjing Normal University,801–1000
Nanjing Tech University,801–1000
National Institute of Applied Sciences of Lyon (INSA Lyon),801–1000
École Nationale des Travaux Publics de l'État (ENTPE),801–1000
National University of Sciences and Technology,801–1000
National Sun Yat-Sen University,801–1000
National Taiwan Normal University,801–1000
National Technical University of Athens,801–1000
National Institute of Technology Hamirpur,801–1000
"National Institute of Technology, Tiruchirappalli",801–1000
The New School,801–1000
New Mexico State University (Main campus),801–1000
Nippon Medical School,801–1000
University of North Carolina at Greensboro,801–1000
"Northeastern University, China",801–1000
Northeast Normal University,801–1000
University of Northern British Columbia (UNBC),801–1000
Northern Illinois University,801–1000
Ohio University (Main campus),801–1000
Old Dominion University,801–1000
Ozyegin University,801–1000
Pablo de Olavide University,801–1000
University of Palermo,801–1000
Panjab University,801–1000
Panthéon-Sorbonne University – Paris 1,801–1000
Parthenope University of Naples,801–1000
Universiti Pendidikan Sultan Idris,801–1000
University of Peshawar,801–1000
University of the Philippines,801–1000
Universitat Politècnica de Catalunya,801–1000
Polytechnic University of Valencia,801–1000
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),801–1000
Pontifical Catholic University of Rio Grande do Sul (PUCRS),801–1000
Pontifical Javeriana University,801–1000
University of Pretoria,801–1000
Princess Nourah bint Abdulrahman University,801–1000
University of the Punjab,801–1000
University of Rennes 1,801–1000
University of Rhode Island,801–1000
Rhodes University,801–1000
University of Roehampton,801–1000
University of Rome III,801–1000
Roskilde University,801–1000
University of Salamanca,801–1000
University of Salento,801–1000
University of Salford,801–1000
University of Science and Technology Beijing,801–1000
University of La Serena,801–1000
Shahid Beheshti University,801–1000
Shantou University,801–1000
Sheffield Hallam University,801–1000
Shiraz University,801–1000
Shiraz University of Medical Sciences,801–1000
University of Siegen,801–1000
University of South Bohemia in České Budějovice,801–1000
South China Normal University,801–1000
Southern Illinois University Carbondale,801–1000
Suez Canal University,801–1000
Sunway University,801–1000
Symbiosis International University,801–1000
Taibah University,801–1000
Tanta University,801–1000
"University of Technology, Iraq",801–1000
Universiti Tenaga Nasional (UNITEN),801–1000
University of Texas at El Paso,801–1000
Texas Tech University,801–1000
University of Thessaly,801–1000
Toronto Metropolitan University,801–1000
Tribhuvan University,801–1000
University of Urbino Carlo Bo,801–1000
Vilnius University,801–1000
VIT University,801–1000
University of Warsaw,801–1000
Wenzhou Medical University,801–1000
University of Winchester,801–1000
University of Wisconsin-Milwaukee,801–1000
Worcester Polytechnic Institute,801–1000
University of Wyoming,801–1000
Yangzhou University,801–1000
Yeungnam University,801–1000
Zagazig University,801–1000
Zewail City of Science and Technology,801–1000
Zhejiang University of Finance and Economics,801–1000
University of A Coruña,1001–1200
"Adam Mickiewicz University, Poznań",1001–1200
Ain Shams University,1001–1200
Al-Farabi Kazakh National University,1001–1200
University of Algarve,1001–1200
University of Almería,1001–1200
Amity University,1001–1200
University of Anbar,1001–1200
"University of the Andes, Colombia",1001–1200
Arts et Métiers,1001–1200
Assiut University,1001–1200
Atılım University,1001–1200
Autonomous University of Sinaloa,1001–1200
Babeş-Bolyai University,1001–1200
Bahauddin Zakariya University,1001–1200
Bayero University,1001–1200
Beijing Jiaotong University,1001–1200
University of Botswana,1001–1200
Bowling Green State University,1001–1200
Instituto Politécnico de Bragança,1001–1200
University of Burgos,1001–1200
University of Calcutta,1001–1200
Cardiff Metropolitan University,1001–1200
Carlos III University of Madrid,1001–1200
Technical University of Cartagena,1001–1200
University of Castilla-La Mancha,1001–1200
Universidad Católica San Antonio de Murcia (UCAM),1001–1200
University of Central Lancashire,1001–1200
Chang Gung University,1001–1200
Charles Sturt University,1001–1200
Chiang Mai University,1001–1200
Chiba University,1001–1200
University of Chile,1001–1200
"China University of Geosciences, Beijing",1001–1200
China Pharmaceutical University,1001–1200
Chonnam National University,1001–1200
Clarkson University,1001–1200
Comenius University in Bratislava,1001–1200
Creighton University,1001–1200
Czech University of Life Sciences Prague (CZU),1001–1200
University of Debrecen,1001–1200
University of Delhi,1001–1200
Dr B.R. Ambedkar National Institute of Technology Jalandhar,1001–1200
East China University of Science and Technology,1001–1200
University of East London,1001–1200
École Centrale de Lyon,1001–1200
University of Engineering & Technology (UET) Lahore,1001–1200
Universidade Estadual Paulista (Unesp),1001–1200
European University of Madrid,1001–1200
University of Extremadura,1001–1200
Federal University of Rio de Janeiro,1001–1200
Universidade Federal de Santa Catarina,1001–1200
Federal University of Technology Akure,1001–1200
Ferdowsi University of Mashhad,1001–1200
Florida Institute of Technology,1001–1200
University of Fortaleza (UNIFOR),1001–1200
Fu Jen Catholic University,1001–1200
Fujian Agriculture and Forestry University,1001–1200
University of Ghana,1001–1200
Guangxi University,1001–1200
University of Gujrat,1001–1200
Guru Jambheshwar University of Science and Technology,1001–1200
Hakim Sabzevari University,1001–1200
Hamamatsu University School of Medicine,1001–1200
Huaqiao University,1001–1200
Hyogo College of Medicine,1001–1200
Ibn Tofaïl University,1001–1200
Ilia State University,1001–1200
Ilmenau University of Technology,1001–1200
IMT Nord Europe,1001–1200
"Indian Institute of Science Education and Research, Pune",1001–1200
Indian Institute of Science Education and Research Kolkata,1001–1200
Indian Institute of Technology Bhubaneswar,1001–1200
Indian Institute of Technology Guwahati,1001–1200
Indian Institute of Technology (Indian School of Mines) Dhanbad,1001–1200
Indian Institute of Technology Mandi,1001–1200
University of Indonesia,1001–1200
Inha University,1001–1200
Isfahan University of Medical Sciences,1001–1200
Isfahan University of Technology,1001–1200
Istanbul University,1001–1200
Istanbul University-Cerrahpaşa,1001–1200
Jadavpur University,1001–1200
Jaume I University,1001–1200
University of Jeddah,1001–1200
Jeonbuk National University,1001–1200
Jiangnan University,1001–1200
Jiangsu Normal University,1001–1200
Jiangxi University of Finance and Economics,1001–1200
The Jikei University School of Medicine,1001–1200
Kanazawa University,1001–1200
Kaohsiung Medical University,1001–1200
Kharkiv National University of Radio Electronics,1001–1200
K.N. Toosi University of Technology,1001–1200
Kumamoto University,1001–1200
Kwame Nkrumah University of Science and Technology,1001–1200
Kyoto Prefectural University of Medicine,1001–1200
University of Las Palmas de Gran Canaria,1001–1200
Lebanese University,1001–1200
University of Leoben,1001–1200
University of León,1001–1200
Lorestan University,1001–1200
Lusophone University of Humanities and Technologies,1001–1200
Universiti Malaysia Perlis,1001–1200
University of Manouba,1001–1200
University of Maragheh,1001–1200
University of Marrakech Cadi Ayyad,1001–1200
University of Mauritius,1001–1200
University of Mazandaran,1001–1200
Medical University of Bialystok,1001–1200
Menoufia University,1001–1200
Miguel Hernández University of Elche,1001–1200
Morgan State University,1001–1200
University of Murcia,1001–1200
Nanjing University of Aeronautics and Astronautics,1001–1200
Nanjing Medical University,1001–1200
National Autonomous University of Mexico,1001–1200
National Central University,1001–1200
National University of Colombia,1001–1200
National Taipei University of Technology,1001–1200
National Taiwan Ocean University,1001–1200
National Institute of Technology Rourkela,1001–1200
Necmettin Erbakan University,1001–1200
Niigata University,1001–1200
Northwest University,1001–1200
Oakland University,1001–1200
Óbuda University,1001–1200
Okayama University,1001–1200
University of Oviedo,1001–1200
Palacký University Olomouc,1001–1200
University of Patras,1001–1200
Pavol Jozef Šafárik University in Košice,1001–1200
University of Pécs,1001–1200
PMAS Arid Agriculture University Rawalpindi,1001–1200
Polytechnic Institute of Porto,1001–1200
Pondicherry University,1001–1200
Portland State University,1001–1200
Port Said University,1001–1200
Public University of Navarre,1001–1200
University of Puerto Rico,1001–1200
Pusan National University,1001–1200
Reichman University,1001–1200
University Rey Juan Carlos,1001–1200
Rikkyo University,1001–1200
Robert Gordon University,1001–1200
Rochester Institute of Technology,1001–1200
Rowan University,1001–1200
Sahand University of Technology,1001–1200
Sakarya University,1001–1200
Universidad San Francisco de Quito,1001–1200
University of Sargodha,1001–1200
Semnan University of Medical Sciences and Health Services,1001–1200
University of Seville,1001–1200
Shahid Beheshti University of Medical Sciences,1001–1200
Shahrekord University,1001–1200
Shahrood University of Technology,1001–1200
Shanghai Maritime University,1001–1200
Sidi Mohamed Ben Abdellah University,1001–1200
Siksha ‘O’ Anusandhan,1001–1200
University of Social Welfare and Rehabilitation Sciences,1001–1200
Sogang University,1001–1200
Sohag University,1001–1200
University of South Africa,1001–1200
University of South Dakota,1001–1200
University of the South Pacific,1001–1200
South Valley University,1001–1200
University of South Wales,1001–1200
University of Split,1001–1200
Ştefan cel Mare University of Suceava,1001–1200
St Marianna University School of Medicine,1001–1200
University of Sunderland,1001–1200
SWPS University of Social Sciences and Humanities,1001–1200
University of Szeged,1001–1200
Tallinn University,1001–1200
Technical University of Crete,1001–1200
Technical University of Madrid,1001–1200
Technological University Dublin,1001–1200
Teesside University,1001–1200
University of Texas Rio Grande Valley,1001–1200
Tokyo Medical University,1001–1200
Tokyo Metropolitan University,1001–1200
Toyota Technological Institute,1001–1200
University of Trás-os-Montes and Alto Douro,1001–1200
Universiti Tunku Abdul Rahman (UTAR),1001–1200
Urmia University,1001–1200
"University of Veterinary and Animal Sciences, Lahore",1001–1200
"Vietnam National University, Hanoi",1001–1200
University of Vigo,1001–1200
Waseda University,1001–1200
University of Westminster,1001–1200
Wuhan University of Technology,1001–1200
Xidian University,1001–1200
Yarmouk University,1001–1200
Yasouj University,1001–1200
Yıldız Technical University,1001–1200
University of Zaragoza,1001–1200
Zhejiang Gongshang University,1001–1200
Zhejiang University of Technology,1001–1200
University of Žilina,1001–1200
University of Zimbabwe,1001–1200
Université 8 Mai 1945 Guelma,1201–1500
Abdelmalek Essaâdi University,1201–1500
Acharya Nagarjuna University,1201–1500
Acıbadem University,1201–1500
Adolfo Ibáñez University,1201–1500
AGH University of Science and Technology,1201–1500
Aichi Medical University,1201–1500
Universitas Airlangga,1201–1500
Akdeniz University,1201–1500
University of Alicante,1201–1500
Anadolu University,1201–1500
"University of the Andes, Chile",1201–1500
Andhra University,1201–1500
Universidad Andrés Bello (UNAB),1201–1500
Ankara University,1201–1500
University of Antioquia,1201–1500
"Arab Academy for Science, Technology and Maritime Transport",1201–1500
Arak University,1201–1500
Ariel University,1201–1500
Atatürk University,1201–1500
Austral University of Chile,1201–1500
Banasthali University,1201–1500
Bandung Institute of Technology (ITB),1201–1500
Bangladesh Agricultural University (BAU),1201–1500
Bangladesh University of Engineering and Technology,1201–1500
University of Benin,1201–1500
Bezmiâlem Vakif University,1201–1500
BINUS University,1201–1500
Bozok University,1201–1500
University of Brasília,1201–1500
The British University in Egypt,1201–1500
Brno University of Technology,1201–1500
Bu-Ali Sina University,1201–1500
University of Bucharest,1201–1500
Budapest University of Technology and Economics,1201–1500
University of Cadiz,1201–1500
Canterbury Christ Church University,1201–1500
University of Carthage,1201–1500
The Catholic University of Korea,1201–1500
Catholic University of the North,1201–1500
Chang Gung University of Science and Technology,1201–1500
"University of Chemistry and Technology, Prague",1201–1500
University of Chester,1201–1500
Chosun University,1201–1500
Chungbuk National University,1201–1500
Chungnam National University,1201–1500
Chung Yuan Christian University,1201–1500
Cochin University of Science and Technology,1201–1500
University of Colorado Colorado Springs,1201–1500
University of Concepción,1201–1500
Corvinus University of Budapest,1201–1500
Czech Technical University in Prague,1201–1500
Damghan University,1201–1500
De La Salle University,1201–1500
Del Rosario University,1201–1500
Democritus University of Thrace,1201–1500
Dokuz Eylül University,1201–1500
Ege University,1201–1500
Ehime University,1201–1500
El Bosque University,1201–1500
The University of Electro-Communications,1201–1500
Erciyes University,1201–1500
Escuela Superior Politécnica del Litoral,1201–1500
Universidade do Estado do Rio de Janeiro (UERJ),1201–1500
Universidade Federal do ABC (UFABC),1201–1500
Universidade Federal da Bahia,1201–1500
Federal University of Espírito Santo,1201–1500
Federal University of Goiás,1201–1500
Federal University of Lavras,1201–1500
Universidade Federal do Paraná (UFPR),1201–1500
Federal University of Rio Grande do Norte (UFRN),1201–1500
Federal University of Santa Maria,1201–1500
Federal University of São Carlos,1201–1500
Federal University of Uberlândia,1201–1500
Federal University of Viçosa,1201–1500
Federico Santa María Technical University,1201–1500
University of Fort Hare,1201–1500
University of La Frontera,1201–1500
Fujian Normal University,1201–1500
Université de Gabès,1201–1500
Universitas Gadjah Mada,1201–1500
Gazi University,1201–1500
University of Gdańsk,1201–1500
Gdańsk University of Technology,1201–1500
Gebze Technical University,1201–1500
Georgia Southern University,1201–1500
German University in Cairo,1201–1500
Gifu University,1201–1500
Government College University Lahore,1201–1500
Grand Valley State University,1201–1500
Gunma University,1201–1500
Gyeongsang National University,1201–1500
Hallym University,1201–1500
Harbin Engineering University,1201–1500
Hasanuddin University,1201–1500
The Hashemite University,1201–1500
Université Hassan II de Casablanca,1201–1500
Université Polytechnique Hauts-de-France,1201–1500
Helwan University,1201–1500
Hosei University,1201–1500
University of Hradec Králové,1201–1500
Hungarian University of Agriculture and Life Sciences,1201–1500
University of Ilorin,1201–1500
Incheon National University,1201–1500
Indian Institute of Science Education and Research Bhopal,1201–1500
International Hellenic University,1201–1500
IPB University,1201–1500
University of Isfahan,1201–1500
Istanbul Medipol University,1201–1500
Ivan Franko National University of Lviv,1201–1500
Jawaharlal Nehru Technological University Anantapur (JNTUA),1201–1500
Jeju National University,1201–1500
Jianghan University,1201–1500
Kagawa University,1201–1500
Kanazawa Medical University,1201–1500
Kangwon National University,1201–1500
Karabük University,1201–1500
Kaunas University of Technology,1201–1500
Kharazmi University,1201–1500
Khon Kaen University,1201–1500
Khulna University of Engineering and Technology (KUET),1201–1500
King Mongkut's University of Technology North Bangkok,1201–1500
Kitasato University,1201–1500
Kochi University of Technology,1201–1500
Universiti Kuala Lumpur,1201–1500
Kyushu Institute of Technology (Kyutech),1201–1500
Lahore College for Women University (LCWU),1201–1500
University of Lethbridge,1201–1500
L.N. Gumilyov Eurasian National University,1201–1500
Londrina State University,1201–1500
University of Lucknow,1201–1500
"Lumière University, Lyon 2",1201–1500
University of Malaga,1201–1500
Universiti Malaysia Kelantan,1201–1500
Universiti Malaysia Sarawak (UNIMAS),1201–1500
University of Maribor,1201–1500
Marmara University,1201–1500
Mendel University in Brno,1201–1500
Metropolitan Autonomous University,1201–1500
Mie University,1201–1500
Ming Chi University of Technology,1201–1500
Mohammed V University of Rabat,1201–1500
University of Monastir,1201–1500
Multimedia University,1201–1500
University of Mumbai,1201–1500
University of Mysore,1201–1500
Nagaoka University of Technology,1201–1500
Nagasaki University,1201–1500
Nagoya City University,1201–1500
National Chengchi University,1201–1500
National Chin-Yi University of Technology,1201–1500
National Chung Cheng University,1201–1500
National Chung Hsing University,1201–1500
National University of Distance Education (UNED),1201–1500
National Dong Hwa University,1201–1500
National University of San Martín,1201–1500
National Technical University Kharkiv Polytechnic Institute,1201–1500
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,1201–1500
Nicolaus Copernicus University in Toruń,1201–1500
University of Nigeria Nsukka,1201–1500
Slovak University of Agriculture in Nitra,1201–1500
University of North Carolina Wilmington,1201–1500
North China Electric Power University,1201–1500
"University of the North, Colombia",1201–1500
Obafemi Awolowo University,1201–1500
Oles Honchar Dnipro National University,1201–1500
Opole University of Technology,1201–1500
Oran 1 University,1201–1500
Osaka Metropolitan University,1201–1500
Osmania University,1201–1500
University of Ostrava,1201–1500
University of Pannonia,1201–1500
Paris Nanterre University,1201–1500
University of Pau and Pays de l’Adour,1201–1500
Universitas Pendidikan Indonesia,1201–1500
Persian Gulf University,1201–1500
Pontifical Catholic University of Peru,1201–1500
Pontifical Catholic University of Valparaíso,1201–1500
Pontifícia Universidade Católica do Paraná,1201–1500
Poznan University of Medical Sciences,1201–1500
Poznan University of Technology,1201–1500
University of Primorska,1201–1500
Prince of Songkla University,1201–1500
Qassim University,1201–1500
Riga Technical University,1201–1500
Ritsumeikan University,1201–1500
University of the Ryukyus,1201–1500
Saga University,1201–1500
Université Saint-Joseph de Beyrouth,1201–1500
Saitama Medical University,1201–1500
"University of Santiago, Chile (USACH)",1201–1500
Sapporo Medical University,1201–1500
SASTRA University,1201–1500
Sathyabama Institute of Science and Technology,1201–1500
Universitas Sebelas Maret,1201–1500
Selçuk University,1201–1500
Semnan University,1201–1500
University of Seoul,1201–1500
Seoul National University of Science and Technology (SeoulTech),1201–1500
University of Sfax,1201–1500
Shahed University,1201–1500
Shahid Bahonar University of Kerman,1201–1500
​Shahid Chamran University of Ahvaz,1201–1500
Shahid Rajaee Teacher Training University,1201–1500
University of Shanghai for Science and Technology,1201–1500
Shibaura Institute of Technology,1201–1500
Shiga University of Medical Science,1201–1500
Shinshu University,1201–1500
Showa University,1201–1500
Silesian University of Technology,1201–1500
Sofia University,1201–1500
Soonchunhyang University,1201–1500
Soongsil University,1201–1500
Université Sorbonne Nouvelle,1201–1500
University of Sousse,1201–1500
Southwest Jiaotong University,1201–1500
Sri Venkateswara University,1201–1500
SRM Institute of Science and Technology,1201–1500
Staffordshire University,1201–1500
State University of Malang,1201–1500
Suranaree University of Technology,1201–1500
University of Talca,1201–1500
Tamkang University,1201–1500
University of Tarapacá,1201–1500
Taras Shevchenko National University of Kyiv,1201–1500
Technical University of Košice,1201–1500
Technological University of Pereira,1201–1500
University of Technology of Compiègne,1201–1500
University of Technology of Troyes,1201–1500
Teikyo University,1201–1500
Universiti Teknikal Malaysia Melaka,1201–1500
Institut Teknologi Sepuluh Nopember,1201–1500
Texas State University,1201–1500
Tezpur University,1201–1500
Thammasat University,1201–1500
The John Paul II Catholic University of Lublin,1201–1500
TOBB University of Economics and Technology,1201–1500
Toho University,1201–1500
Tokai University,1201–1500
Tokat Gaziosmanpaşa University,1201–1500
Tokushima University,1201–1500
Tokyo University of Agriculture and Technology,1201–1500
Tokyo University of Marine Science and Technology,1201–1500
Tokyo University of Science,1201–1500
Tomas Bata University in Zlín,1201–1500
University of Toyama,1201–1500
Toyohashi University of Technology (TUT),1201–1500
Transilvania University of Brașov,1201–1500
Tshwane University of Technology,1201–1500
Tunghai University,1201–1500
University of Tunis El Manar,1201–1500
Tzu Chi University,1201–1500
UNIR – International University of La Rioja,1201–1500
Unisinos University,1201–1500
Université Chouaïb Doukkali,1201–1500
Universiti Malaysia Terengganu (UMT),1201–1500
Universiti Tun Hussein Onn Malaysia (UTHM),1201–1500
USAMV Cluj-Napoca,1201–1500
University of Valladolid,1201–1500
Veltech University,1201–1500
University of Venda,1201–1500
"Vignan’s Foundation for Science, Technology and Research",1201–1500
Vilnius Gediminas Technical University (Vilnius Tech),1201–1500
"Visvesvaraya National Institute of Technology, Nagpur",1201–1500
V.N. Karazin Kharkiv National University,1201–1500
Vytautas Magnus University,1201–1500
Warsaw University of Life Sciences – SGGW,1201–1500
Warsaw University of Technology,1201–1500
University of West Bohemia,1201–1500
University of Western Macedonia,1201–1500
Western Michigan University,1201–1500
Wrocław University of Environmental and Life Sciences,1201–1500
University of Wrocław,1201–1500
Wuhan Textile University,1201–1500
Xiangtan University,1201–1500
Xuzhou Medical University,1201–1500
Yamagata University,1201–1500
University of Yamanashi,1201–1500
Yazd University,1201–1500
Yokohama National University,1201–1500
Yuan Ze University,1201–1500
Yuriy Fedkovych Chernivtsi National University,1201–1500
University of Zagreb,1201–1500
University of Zanjan,1201–1500
Zanjan University of Medical Sciences,1201–1500
University of Abou Bekr Belkaïd Tlemcen,1501+
Akita University,1501+
Aksaray University,1501+
Alexandru Ioan Cuza University,1501+
Alzahra University,1501+
"University of the Andes, Venezuela",1501+
Annamalai University,1501+
Aoyama Gakuin University,1501+
Universidad Autónoma Chapingo,1501+
Universidad Autónoma de Ciudad Juárez,1501+
Universidad Autónoma de Coahuila,1501+
Universidad Autónoma del Estado de Hidalgo,1501+
Universidad Autónoma del Estado de Mexico (UAEMex),1501+
Universidad Autónoma del Estado de Morelos,1501+
Universidad Autónoma de Nuevo León (UANL),1501+
Universidad Autónoma de Querétaro,1501+
Universidad Autónoma de Yucatán,1501+
Autonomous University of Baja California,1501+
Badji Mokhtar University – Annaba,1501+
University of Baghdad,1501+
Baku State University,1501+
Başkent University,1501+
University of Basrah,1501+
University of Béjaïa,1501+
Benemérita Universidad Autónoma de Puebla,1501+
Bialystok University of Technology,1501+
University of Bío-Bío,1501+
University of Biskra,1501+
Blida 1 University,1501+
Bolu Abant Izzet Baysal University,1501+
University of Brawijaya,1501+
Burapha University,1501+
Bursa Uludağ University,1501+
Catholic University of Brasília,1501+
University of Caxias do Sul,1501+
Ceará State University,1501+
Manisa Celal Bayar University,1501+
Chaoyang University of Technology,1501+
Chiba Institute of Technology,1501+
Chinese Culture University,1501+
Chubu University,1501+
Chuo University,1501+
University of Colima,1501+
Comillas Pontifical University,1501+
Communication University of China,1501+
Cracow University of Technology,1501+
University of Craiova,1501+
Cukurova University,1501+
University of Dar es Salaam,1501+
Dicle University,1501+
Diponegoro University,1501+
Dokkyo Medical University,1501+
Doshisha University,1501+
Dumlupinar University,1501+
Dunarea de Jos University of Galati,1501+
EAFIT University,1501+
Erzincan Binali Yıldırım University,1501+
Escuela Politécnica Nacional,1501+
Eskişehir Osmangazi University,1501+
Universidade do Estado de Santa Catarina,1501+
Universidade Estadual do Norte Fluminense Darcy Ribeiro,1501+
Universidade Estadual de Maringá,1501+
